Item,WinCo,Wal.Mart
Bananas (lb),0.42,0.56
Red Onions (lb),0.58,0.98
Mini Peeled Carrots (1 lb bag),0.98,1.48
Roma Tomatoes (lb),0.98,2.67
Deli Tater Wedges (lb),1.18,1.78
Beef Cube Steak (lb),3.83,4.118
Beef Top Round London Broil (lb) ,3.48,4.12
Pillsbury Devils Food Cake Mix (18.25 oz) ,0.88,0.88
Lipton Rice and Sauce Mix (5.6 oz) ,0.88,1.06
Sierra Nevada Pale Ale (12 12 oz bottles) ,12.68,12.84
GM Cheerios Oat Clusters (11.3 oz) ,1.98,2.74
Charmin Bathroom Tissue (12 roll),5.98,7.48
Bumble Bee Pink Salmon (14.75 oz) ,1.58,1.98
"Pace Thick & Chunky Salsa, Mild (24 oz) ",2.28,2.78
"Nalley Chili, Regular w/Beans (15 oz) ",0.78,0.78
Challenge Butter (lb quarters),2.18,2.58
Kraft American Singles (12 oz),2.27,2.27
Yuban Coffee FAC (36 oz),5.98,7.56
"TotinoÕs Pizza Rolls, Pepperoni (19.8 oz) ",2.38,2.42
"Rosarita Refried Beans, Original (16 oz) ",0.68,0.73
Barilla Spaghetti (16 oz),0.78,1.23
Sun-Maid Mini Raisins (14 .5 oz),1.18,1.36
"Jif Peanut Butter, Creamy (28 oz)",2.54,2.72
"Dole Fruit Bowl, Mixed Fruit (4 4 oz) ",1.68,1.98
Progresso Chicken Noodle Soup (19 oz) ,1.28,1.38
"Precious Mozzarella Ball, Part Skim (16 oz) ",3.28,4.23
Mrs. Cubbison Seasoned Croutons (6 oz) ,0.88,1.12
Kellogg's Raisin Bran (20 oz),1.98,2.5
"Campbell's Soup at Hand, Cream of Tomato",1.18,1.26
